instance_id,business_id,Feature,InstanceID,category,latitude,longitude,X,Y,city,state,stars,review_count,is_open
-Bl2AA2Ujp1EBp0hEw6sIA__shopping,-Bl2AA2Ujp1EBp0hEw6sIA,Shopping,-Bl2AA2Ujp1EBp0hEw6sIA,Shopping,39.951546,-75.158167,-666.133664,-3147.868771,Philadelphia,PA,2.5,27,1
-CIZAVxbJ9RDWl9Xx9kzOg__hair_salons,-CIZAVxbJ9RDWl9Xx9kzOg,Hair Salons,-CIZAVxbJ9RDWl9Xx9kzOg,Hair Salons,39.9581756,-75.2339477,-7123.065933,-2410.689867,Philadelphia,PA,3.0,19,1
-CRjqZ4GxZ6lIa_qMj7-yw__restaurants,-CRjqZ4GxZ6lIa_qMj7-yw,Restaurants,-CRjqZ4GxZ6lIa_qMj7-yw,Restaurants,39.9602344,-75.1966365,-3943.946563,-2181.761436,Philadelphia,PA,3.5,58,1
-Cf4TdTeHqdk3ZmK9_4p3w__beauty___spas,-Cf4TdTeHqdk3ZmK9_4p3w,Beauty & Spas,-Cf4TdTeHqdk3ZmK9_4p3w,Beauty & Spas,39.979253,-75.268775,-10090.543367,-66.986683,Philadelphia,PA,3.5,14,1
-CoVlGcw8nOmkp_ASc_DIQ__arts___entertainment,-CoVlGcw8nOmkp_ASc_DIQ,Arts & Entertainment,-CoVlGcw8nOmkp_ASc_DIQ,Arts & Entertainment,39.9774330477,-75.1586017528,-703.176993,-269.356425,Philadelphia,PA,2.5,51,1
-DGsnMlRrR_tv8avrpQLQw__breakfast___brunch,-DGsnMlRrR_tv8avrpQLQw,Breakfast & Brunch,-DGsnMlRrR_tv8avrpQLQw,Breakfast & Brunch,39.9408607,-75.1589045,-728.972719,-4336.021562,Philadelphia,PA,4.0,741,1
-D_3emciINpjvYXsHCf8OA__home_services,-D_3emciINpjvYXsHCf8OA,Home Services,-D_3emciINpjvYXsHCf8OA,Home Services,39.9503652,-75.1704529,-1712.959890,-3279.167922,Philadelphia,PA,4.5,38,1
-F04D8Q5oACUCW_zEMkS1A__local_services,-F04D8Q5oACUCW_zEMkS1A,Local Services,-F04D8Q5oACUCW_zEMkS1A,Local Services,39.9587456535,-75.1758066308,-2169.127188,-2347.302723,Philadelphia,PA,4.5,8,1
-FrAoc8_01YaTiwc1zByOA__home_services,-FrAoc8_01YaTiwc1zByOA,Home Services,-FrAoc8_01YaTiwc1zByOA,Home Services,39.973085,-75.138503,1009.347245,-752.837938,Philadelphia,PA,5.0,5,1
-HewctWQ0P3HqKCr76bU-g__nightlife,-HewctWQ0P3HqKCr76bU-g,Nightlife,-HewctWQ0P3HqKCr76bU-g,Nightlife,40.018561,-75.2127855,-5319.930147,4303.869530,Philadelphia,PA,4.0,76,1
-IZpkWsJKfq35eJLzaUcvA__bars,-IZpkWsJKfq35eJLzaUcvA,Bars,-IZpkWsJKfq35eJLzaUcvA,Bars,39.947654,-75.161553,-954.639480,-3580.640024,Philadelphia,PA,3.5,58,1
-Is2hkDjuguxmahjh8Spjw__automotive,-Is2hkDjuguxmahjh8Spjw,Automotive,-Is2hkDjuguxmahjh8Spjw,Automotive,39.979355,-75.268067,-10030.217875,-55.644785,Philadelphia,PA,3.0,46,1
-IxZMOReWDCJDD-A2N92_Q__food,-IxZMOReWDCJDD-A2N92_Q,Food,-IxZMOReWDCJDD-A2N92_Q,Food,39.915489,-75.188281,-3232.012026,-7157.229779,Philadelphia,PA,2.0,46,1
-K80PQ45I5AeYWSCcEcy6g__hair_salons,-K80PQ45I5AeYWSCcEcy6g,Hair Salons,-K80PQ45I5AeYWSCcEcy6g,Hair Salons,40.0487546237,-75.1836105064,-2834.060293,7661.251940,Philadelphia,PA,4.5,14,1
-KWel73upKHxstRCr9JGLw__bars,-KWel73upKHxstRCr9JGLw,Bars,-KWel73upKHxstRCr9JGLw,Bars,39.9537915,-75.2030239,-4488.188159,-2898.180219,Philadelphia,PA,3.5,94,1
-KncfNxXHo2DA46fR39K5w__food,-KncfNxXHo2DA46fR39K5w,Food,-KncfNxXHo2DA46fR39K5w,Food,40.055428,-75.0626433,7473.010748,8403.298553,Philadelphia,PA,3.0,10,1
-KoF5X8toS6VBY3DvNeuDA__restaurants,-KoF5X8toS6VBY3DvNeuDA,Restaurants,-KoF5X8toS6VBY3DvNeuDA,Restaurants,40.0352619,-75.0817953,5841.155054,6160.927446,Philadelphia,PA,3.5,14,1
-L70iK2xSuBo1zsS9NP_Wg__food,-L70iK2xSuBo1zsS9NP_Wg,Food,-L70iK2xSuBo1zsS9NP_Wg,Food,39.9878363,-75.1237413,2267.125242,887.434049,Philadelphia,PA,4.5,7,1
-LmyoKvQ3WPptdXTtVtwmw__home_services,-LmyoKvQ3WPptdXTtVtwmw,Home Services,-LmyoKvQ3WPptdXTtVtwmw,Home Services,39.959638,-75.229063,-6706.862638,-2248.078182,Philadelphia,PA,4.0,7,1
-LoYGjfeHbGklgmiJU9EMQ__event_planning___services,-LoYGjfeHbGklgmiJU9EMQ,Event Planning & Services,-LoYGjfeHbGklgmiJU9EMQ,Event Planning & Services,39.9793657,-75.1253492,2130.123322,-54.454998,Philadelphia,PA,5.0,28,1
-LpG-lx52Mjp7jyJ8YZHZQ__restaurants,-LpG-lx52Mjp7jyJ8YZHZQ,Restaurants,-LpG-lx52Mjp7jyJ8YZHZQ,Restaurants,39.9742886,-75.1834252,-2818.271169,-619.003540,Philadelphia,PA,3.0,8,1
-M4bstf1eZI1cltbABQO5g__home_services,-M4bstf1eZI1cltbABQO5g,Home Services,-M4bstf1eZI1cltbABQO5g,Home Services,39.9346406825,-75.1586565,-707.841755,-5027.656907,Philadelphia,PA,4.5,7,1
-N1WjsJUama2LpA668ctbA__food,-N1WjsJUama2LpA668ctbA,Food,-N1WjsJUama2LpA668ctbA,Food,39.94455,-75.1636813,-1135.982341,-3925.789553,Philadelphia,PA,3.5,18,1
-NBNpfXO_WlUJFprqDtcSg__bars,-NBNpfXO_WlUJFprqDtcSg,Bars,-NBNpfXO_WlUJFprqDtcSg,Bars,39.9702565,-75.1359536,1226.570141,-1067.353223,Philadelphia,PA,3.5,171,1
-NFHQ0ePNYu6SrwekdhcBw__bars,-NFHQ0ePNYu6SrwekdhcBw,Bars,-NFHQ0ePNYu6SrwekdhcBw,Bars,39.9751372788,-75.183512288,-2825.691546,-524.634632,Philadelphia,PA,4.5,10,1
-NG3pA9LEXCxt0Fjd_aYYA__restaurants,-NG3pA9LEXCxt0Fjd_aYYA,Restaurants,-NG3pA9LEXCxt0Fjd_aYYA,Restaurants,40.0458535,-75.1820573,-2701.718569,7338.661258,Philadelphia,PA,4.5,45,1
-NQgfwpVyvDlA7pmmeNwrg__automotive,-NQgfwpVyvDlA7pmmeNwrg,Automotive,-NQgfwpVyvDlA7pmmeNwrg,Automotive,39.9353865,-75.1470931,277.423498,-4944.725670,Philadelphia,PA,4.5,28,1
-OIUunijjcq_ZzyyQhPPFQ__restaurants,-OIUunijjcq_ZzyyQhPPFQ,Restaurants,-OIUunijjcq_ZzyyQhPPFQ,Restaurants,39.9671642,-75.1748969,-2091.613122,-1411.201769,Philadelphia,PA,4.5,510,1
-OPowcQMNgdjzofWhD9uvw__health___medical,-OPowcQMNgdjzofWhD9uvw,Health & Medical,-OPowcQMNgdjzofWhD9uvw,Health & Medical,39.9497349,-75.144266,518.307961,-3349.254181,Philadelphia,PA,3.0,17,1
-Om8XgP9GZ4UUFbgTRI4YQ__bars,-Om8XgP9GZ4UUFbgTRI4YQ,Bars,-Om8XgP9GZ4UUFbgTRI4YQ,Bars,39.9822216,-75.1281087,1894.998751,263.107032,Philadelphia,PA,4.0,155,1
-Or44IdY51Ukd618kikmtA__restaurants,-Or44IdY51Ukd618kikmtA,Restaurants,-Or44IdY51Ukd618kikmtA,Restaurants,39.9641791314,-75.1494241306,78.806875,-1743.126712,Philadelphia,PA,4.0,321,1
-PMXnNJ1D67NkAupRHNkpQ__restaurants,-PMXnNJ1D67NkAupRHNkpQ,Restaurants,-PMXnNJ1D67NkAupRHNkpQ,Restaurants,40.044236,-75.087194,5381.156133,7158.803215,Philadelphia,PA,1.5,25,1
-PqeUUIN8Qgqhv5KMiRfHA__sandwiches,-PqeUUIN8Qgqhv5KMiRfHA,Sandwiches,-PqeUUIN8Qgqhv5KMiRfHA,Sandwiches,39.979339,-75.161205,-924.987967,-57.423906,Philadelphia,PA,4.5,30,1
-Q9gvLmYlv68lT9Z2kH09g__active_life,-Q9gvLmYlv68lT9Z2kH09g,Active Life,-Q9gvLmYlv68lT9Z2kH09g,Active Life,39.9508981,-75.1634218,-1113.871514,-3219.912064,Philadelphia,PA,2.5,11,1
-QG6KSRQKTQ80--wqrnLTg__food,-QG6KSRQKTQ80--wqrnLTg,Food,-QG6KSRQKTQ80--wqrnLTg,Food,39.9521781257,-75.1608799489,-897.291826,-3077.579503,Philadelphia,PA,4.0,9,1
-QI8Qi8XWH3D8y8ethnajA__local_services,-QI8Qi8XWH3D8y8ethnajA,Local Services,-QI8Qi8XWH3D8y8ethnajA,Local Services,39.8730739955,-75.2432488754,-7915.577213,-11873.569608,Philadelphia,PA,2.5,2149,1
-QwHN9KoluPcA0YFllwFYQ__shopping,-QwHN9KoluPcA0YFllwFYQ,Shopping,-QwHN9KoluPcA0YFllwFYQ,Shopping,40.0757554,-75.0181251,11266.206141,10663.605427,Philadelphia,PA,3.5,10,1
-R3PWE4ycIc-xElcPqqetw__beauty___spas,-R3PWE4ycIc-xElcPqqetw,Beauty & Spas,-R3PWE4ycIc-xElcPqqetw,Beauty & Spas,39.941364,-75.146503,327.703262,-4280.057078,Philadelphia,PA,3.0,30,1
-RJfiKv_UsYol83dkfqpHQ__restaurants,-RJfiKv_UsYol83dkfqpHQ,Restaurants,-RJfiKv_UsYol83dkfqpHQ,Restaurants,40.1026609943,-75.0307999645,10186.238002,13655.375144,Philadelphia,PA,3.5,6,1
-RckAAIJ-_KH0AzqrekYuw__restaurants,-RckAAIJ-_KH0AzqrekYuw,Restaurants,-RckAAIJ-_KH0AzqrekYuw,Restaurants,39.9403662,-75.1508793,-45.181558,-4391.007529,Philadelphia,PA,4.0,111,1
-RpUSbVtSGO9LZwMzGogww__nightlife,-RpUSbVtSGO9LZwMzGogww,Nightlife,-RpUSbVtSGO9LZwMzGogww,Nightlife,39.9792884,-75.1255088,2116.524525,-63.050378,Philadelphia,PA,3.0,46,1
-SkwJp45TBbqxYzuYHcerA__food,-SkwJp45TBbqxYzuYHcerA,Food,-SkwJp45TBbqxYzuYHcerA,Food,39.9382628973,-75.1581519842,-664.854235,-4624.884442,Philadelphia,PA,4.5,8,1
-TW-0EqgnzUNHzV9VPSLoQ__restaurants,-TW-0EqgnzUNHzV9VPSLoQ,Restaurants,-TW-0EqgnzUNHzV9VPSLoQ,Restaurants,40.0796573592,-75.0272364667,10489.867606,11097.484094,Philadelphia,PA,4.0,15,1
-TZgzh-CIUQuPCSopuvXgA__shopping,-TZgzh-CIUQuPCSopuvXgA,Shopping,-TZgzh-CIUQuPCSopuvXgA,Shopping,40.0433991,-75.0544525,8170.911940,7065.744053,Philadelphia,PA,2.5,6,1
-TdNv5o5J2JjTmIuAbIWzw__health___medical,-TdNv5o5J2JjTmIuAbIWzw,Health & Medical,-TdNv5o5J2JjTmIuAbIWzw,Health & Medical,40.0092812,-75.193425,-3670.309106,3272.001425,Philadelphia,PA,3.5,14,1
-Ti5pwj6mA99khsxxur8aQ__restaurants,-Ti5pwj6mA99khsxxur8aQ,Restaurants,-Ti5pwj6mA99khsxxur8aQ,Restaurants,39.9499785,-75.1796522,-2496.790826,-3322.167060,Philadelphia,PA,4.5,141,1
-U1GtVyd_kUo9a2P6pYFsQ__shopping,-U1GtVyd_kUo9a2P6pYFsQ,Shopping,-U1GtVyd_kUo9a2P6pYFsQ,Shopping,40.083272,-75.037805,9589.370465,11499.414367,Philadelphia,PA,3.5,74,1
-UJ7ZTb3zfmqZogmy3fnGg__event_planning___services,-UJ7ZTb3zfmqZogmy3fnGg,Event Planning & Services,-UJ7ZTb3zfmqZogmy3fnGg,Event Planning & Services,39.949084,-75.167867,-1492.626993,-3421.631059,Philadelphia,PA,3.0,318,1
-VEGatH4Ea3anbCS4wjgIQ__restaurants,-VEGatH4Ea3anbCS4wjgIQ,Restaurants,-VEGatH4Ea3anbCS4wjgIQ,Restaurants,40.0413621,-75.0643869,7324.446442,6839.239674,Philadelphia,PA,3.5,98,1
-VGUpTEsCUE9gJk50gbU6w__food,-VGUpTEsCUE9gJk50gbU6w,Food,-VGUpTEsCUE9gJk50gbU6w,Food,39.876019,-75.242969,-7891.730290,-11546.099596,Philadelphia,PA,3.5,19,1
-VH4B5o1sjZueC6go9FB1g__restaurants,-VH4B5o1sjZueC6go9FB1g,Restaurants,-VH4B5o1sjZueC6go9FB1g,Restaurants,39.8730203,-75.2747937,-10603.369697,-11879.540283,Philadelphia,PA,2.5,13,1
-Wyh5nrgFXVlkkbb1xC1yg__automotive,-Wyh5nrgFXVlkkbb1xC1yg,Automotive,-Wyh5nrgFXVlkkbb1xC1yg,Automotive,39.9813505,-75.173166,-1944.130926,166.244997,Philadelphia,PA,2.0,6,1
-X6ITNozAhXT4uVBjdCBUA__health___medical,-X6ITNozAhXT4uVBjdCBUA,Health & Medical,-X6ITNozAhXT4uVBjdCBUA,Health & Medical,40.0399256,-75.0649369,7277.583418,6679.507942,Philadelphia,PA,3.5,17,1
-XClcHTlMjH-PBqV2l_KXA__health___medical,-XClcHTlMjH-PBqV2l_KXA,Health & Medical,-XClcHTlMjH-PBqV2l_KXA,Health & Medical,39.9441824,-75.1717273,-1821.545776,-3966.664864,Philadelphia,PA,4.5,21,1
-XFGOFiHD8AE3ihfErB-uQ__home_services,-XFGOFiHD8AE3ihfErB-uQ,Home Services,-XFGOFiHD8AE3ihfErB-uQ,Home Services,39.9507194,-75.1720032,-1845.053973,-3239.782625,Philadelphia,PA,4.0,8,1
-YTipfQ0Yj0iF7m921rhmQ__american__traditional,-YTipfQ0Yj0iF7m921rhmQ,American (Traditional),-YTipfQ0Yj0iF7m921rhmQ,American (Traditional),39.948015,-75.227058,-6536.025615,-3540.498600,Philadelphia,PA,4.5,11,1
-ZeEseRyVaUDYq2QimamBg__beauty___spas,-ZeEseRyVaUDYq2QimamBg,Beauty & Spas,-ZeEseRyVaUDYq2QimamBg,Beauty & Spas,39.9293482,-75.1638751,-1152.495166,-5616.154923,Philadelphia,PA,4.5,32,1
-_0w82rV27l51N3ABkCI0A__pizza,-_0w82rV27l51N3ABkCI0A,Pizza,-_0w82rV27l51N3ABkCI0A,Pizza,39.936093,-75.1586309,-705.660495,-4866.166346,Philadelphia,PA,4.5,126,1
-_mCgBtlEGbzbTsjnuXm3Q__pizza,-_mCgBtlEGbzbTsjnuXm3Q,Pizza,-_mCgBtlEGbzbTsjnuXm3Q,Pizza,39.9573479,-75.2259824,-6444.378581,-2502.726035,Philadelphia,PA,2.0,5,1
-aZnEYYTqwE5Hc5YKp_HjQ__shopping,-aZnEYYTqwE5Hc5YKp_HjQ,Shopping,-aZnEYYTqwE5Hc5YKp_HjQ,Shopping,39.9391011,-75.1498295,44.267174,-4531.680425,Philadelphia,PA,4.0,18,1
-amg4-vvrHNPIzRDKF2Axg__automotive,-amg4-vvrHNPIzRDKF2Axg,Automotive,-amg4-vvrHNPIzRDKF2Axg,Automotive,39.9743442,-75.1226581,2359.419837,-612.821093,Philadelphia,PA,2.5,18,1
-b6YqNf1yR1ZJbDCsygrxQ__restaurants,-b6YqNf1yR1ZJbDCsygrxQ,Restaurants,-b6YqNf1yR1ZJbDCsygrxQ,Restaurants,39.9791553507,-75.1580804849,-658.762102,-77.844805,Philadelphia,PA,1.5,16,1
-c7kNz3HjL3xc0LNBkTM8w__restaurants,-c7kNz3HjL3xc0LNBkTM8w,Restaurants,-c7kNz3HjL3xc0LNBkTM8w,Restaurants,39.9794590399,-75.1628860935,-1068.226375,-44.076060,Philadelphia,PA,3.0,20,1
-cEFKAznWmI0cledNOIQ7w__restaurants,-cEFKAznWmI0cledNOIQ7w,Restaurants,-cEFKAznWmI0cledNOIQ7w,Restaurants,39.9512789,-75.1695181,-1633.309791,-3177.568977,Philadelphia,PA,4.5,1138,1
-cSHu3A9IalZn8s7NGJagw__health___medical,-cSHu3A9IalZn8s7NGJagw,Health & Medical,-cSHu3A9IalZn8s7NGJagw,Health & Medical,39.950504,-75.169215,-1607.484004,-3263.734045,Philadelphia,PA,5.0,84,1
-cvHG83A7-kepbveSr4HYg__health___medical,-cvHG83A7-kepbveSr4HYg,Health & Medical,-cvHG83A7-kepbveSr4HYg,Health & Medical,39.944912,-75.1678828,-1493.973240,-3885.536934,Philadelphia,PA,2.0,25,1
-e0akuVf-9zC6vBbQyT0Ng__restaurants,-e0akuVf-9zC6vBbQyT0Ng,Restaurants,-e0akuVf-9zC6vBbQyT0Ng,Restaurants,40.059667,-75.165949,-1329.202848,8874.654499,Philadelphia,PA,2.0,5,1
-esrlwUKa3cQWouOr5y9Rw__shopping,-esrlwUKa3cQWouOr5y9Rw,Shopping,-esrlwUKa3cQWouOr5y9Rw,Shopping,39.9301737,-75.1447786,474.631623,-5524.363385,Philadelphia,PA,3.5,37,1
-fqjV6QqrKLUxpYCJoSsOQ__shopping,-fqjV6QqrKLUxpYCJoSsOQ,Shopping,-fqjV6QqrKLUxpYCJoSsOQ,Shopping,39.9181628466,-75.1868784428,-3112.506441,-6859.911192,Philadelphia,PA,3.5,7,1
-fs09akgCKv5rTTy7iUHUg__food,-fs09akgCKv5rTTy7iUHUg,Food,-fs09akgCKv5rTTy7iUHUg,Food,39.9519105,-75.1443815,508.466726,-3107.338165,Philadelphia,PA,5.0,276,1
-gWSPVXmvDBbOA0f-hIaeA__shopping,-gWSPVXmvDBbOA0f-hIaeA,Shopping,-gWSPVXmvDBbOA0f-hIaeA,Shopping,39.9553405,-75.1577416,-629.887245,-2725.939039,Philadelphia,PA,5.0,5,1
-hQIY99jDf1So2cZufUDMw__home_services,-hQIY99jDf1So2cZufUDMw,Home Services,-hQIY99jDf1So2cZufUDMw,Home Services,40.065766,-75.050912,8472.582005,9552.833293,Philadelphia,PA,4.0,10,1
-iejZ38ttViiaaHIAl5iYg__arts___entertainment,-iejZ38ttViiaaHIAl5iYg,Arts & Entertainment,-iejZ38ttViiaaHIAl5iYg,Arts & Entertainment,39.9466218,-75.1649506,-1244.133679,-3695.415585,Philadelphia,PA,4.0,7,1
-jdKfTfO0RiZxagql-Tcfg__shopping,-jdKfTfO0RiZxagql-Tcfg,Shopping,-jdKfTfO0RiZxagql-Tcfg,Shopping,39.9485404,-75.1538532,-298.574188,-3482.076705,Philadelphia,PA,5.0,28,1
-jjdFyiXbyldHOmpAXg-1Q__beauty___spas,-jjdFyiXbyldHOmpAXg-1Q,Beauty & Spas,-jjdFyiXbyldHOmpAXg-1Q,Beauty & Spas,39.931361,-75.169711,-1649.745931,-5392.341466,Philadelphia,PA,5.0,39,1
-k0SQn1uQVn0FN61uXYMsw__pizza,-k0SQn1uQVn0FN61uXYMsw,Pizza,-k0SQn1uQVn0FN61uXYMsw,Pizza,40.0420208,-75.1803247,-2554.091523,6912.483874,Philadelphia,PA,2.5,9,1
-k1iNvlyQZkZ14Hcqzlk4Q__shopping,-k1iNvlyQZkZ14Hcqzlk4Q,Shopping,-k1iNvlyQZkZ14Hcqzlk4Q,Shopping,39.9348882,-75.1742147,-2033.485932,-5000.134179,Philadelphia,PA,2.5,24,1
-kTsfH9tz1EOyVrsV_oR8g__shopping,-kTsfH9tz1EOyVrsV_oR8g,Shopping,-kTsfH9tz1EOyVrsV_oR8g,Shopping,39.9904842,-75.1084014,3574.169058,1181.867502,Philadelphia,PA,2.0,19,1
-kX4WpZWN_6Xp2mVsYoKVg__active_life,-kX4WpZWN_6Xp2mVsYoKVg,Active Life,-kX4WpZWN_6Xp2mVsYoKVg,Active Life,39.94035,-75.1512487648,-76.661990,-4392.808890,Philadelphia,PA,2.5,86,1
-knsZfjC1tulGgNQ70NNGA__health___medical,-knsZfjC1tulGgNQ70NNGA,Health & Medical,-knsZfjC1tulGgNQ70NNGA,Health & Medical,39.9568165,-75.1962141,-3907.955760,-2561.815101,Philadelphia,PA,1.5,8,1
-lOZM47MomBU4JYkzvN4Ww__automotive,-lOZM47MomBU4JYkzvN4Ww,Automotive,-lOZM47MomBU4JYkzvN4Ww,Automotive,40.1014222,-75.0400787,9395.638724,13517.627313,Philadelphia,PA,4.5,33,1
-lT5o2BF6ZvSsh8PvpVOgQ__restaurants,-lT5o2BF6ZvSsh8PvpVOgQ,Restaurants,-lT5o2BF6ZvSsh8PvpVOgQ,Restaurants,39.9629294116,-75.1739865249,-2014.044159,-1882.089405,Philadelphia,PA,4.0,53,1
-m4JBdAxvzOlGFZMjSQMMA__hair_salons,-m4JBdAxvzOlGFZMjSQMMA,Hair Salons,-m4JBdAxvzOlGFZMjSQMMA,Hair Salons,39.92838,-75.1655315,-1293.629553,-5723.814000,Philadelphia,PA,5.0,26,1
